id,name_en,description_en,related_product_ids,list_price,discounted_price,short_description_en,sku
25,Sprite Stasis Ball 55 cm,"&lt;p&gt;The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Durable, burst-resistant design.&lt;/li&gt; &lt;li&gt;Hand pump included.&lt;/li&gt; &lt;/ul&gt;",,23,23,,24-WG081-pink
27,Sprite Stasis Ball 65 cm,"&lt;p&gt;The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;65 cm plastic shell.&lt;/li&gt; &lt;li&gt;Durable, burst-resistant design.&lt;/li&gt; &lt;li&gt;Hand pump included.&lt;/li&gt; &lt;/ul&gt;",,27,27,,24-WG082-gray
31,Sprite Stasis Ball 75 cm,"&lt;p&gt;The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;75 cm plastic shell.&lt;/li&gt; &lt;li&gt;Durable, burst-resistant design.&lt;/li&gt; &lt;li&gt;Hand pump included.&lt;/li&gt; &lt;/ul&gt;",,32,32,,24-WG083-pink
33,Sprite Yoga Strap 6 foot,"&lt;p&gt;The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;100% soft and durable cotton. &lt;li&gt;Plastic cinch buckle is easy to use. &lt;li&gt;Three natural colors made from phthalate and heavy metal free dyes. &lt;/ul&gt;",,14,14,,24-WG085
34,Sprite Yoga Strap 8 foot,"&lt;p&gt;The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;8' long x 1.0&quot; wide. &lt;li&gt;100% soft and durable cotton. &lt;li&gt;Plastic cinch buckle is easy to use. &lt;li&gt;Three natural colors made from phthalate and heavy metal free dyes. &lt;/ul&gt;",,17,17,,24-WG086
35,Sprite Yoga Strap 10 foot,"&lt;p&gt;The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;10' long x 1.0&quot; wide. &lt;li&gt;100% soft and durable cotton. &lt;li&gt;Plastic cinch buckle is easy to use. &lt;li&gt;Three natural colors made from phthalate and heavy metal free dyes. &lt;/ul&gt;",,21,21,,24-WG087
36,Aim Analog Watch,"&lt;p&gt;Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Japanese quartz movement.&lt;/li&gt; &lt;li&gt;Strap fits 7&quot; to 8.0&quot;.&lt;/li&gt; &lt;/ul&gt;",,45,45,,24-MG04
37,Endurance Watch,"&lt;p&gt;It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Digital display.&lt;/li&gt; &lt;li&gt;LED backlight.&lt;/li&gt; &lt;li&gt;Strap fits 7&quot; to 10&quot;.&lt;/li&gt; &lt;li&gt;1-year limited warranty.&lt;/li&gt; &lt;li&gt;Comes with polished metal case.&lt;/li&gt; &lt;/ul&gt;",,49,49,,24-MG01
38,Summit Watch,"&lt;p&gt;Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Brushed metal case.&lt;/li&gt; &lt;li&gt;Water resistant (100 meters).&lt;/li&gt; &lt;li&gt;Buckle clasp.&lt;/li&gt; &lt;li&gt;Strap fits 7&quot; - 10&quot;.&lt;/li&gt; &lt;li&gt;1-year limited warranty.&lt;/li&gt; &lt;/ul&gt;",,54,54,,24-MG03
39,Cruise Dual Analog Watch,"&lt;p&gt;Whether you're traveling or wish you were, you'll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Two dials.&lt;/li&gt; &lt;li&gt;Stainless steel case.&lt;/li&gt; &lt;li&gt;Adjustable leather band.&lt;/li&gt; &lt;/ul&gt;",,55,55,,24-MG05
40,Dash Digital Watch,"&lt;p&gt;The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Digital display.&lt;/li&gt; &lt;li&gt;LED backlight.&lt;/li&gt; &lt;li&gt;Rubber strap with buckle clasp.&lt;/li&gt; &lt;li&gt;1-year limited warranty.&lt;/li&gt;",,92,92,,24-MG02
41,Luma Analog Watch,"&lt;p&gt;Designed to stand up to your active lifestyle, this women's Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Precision Miyota&amp;reg; three-hand movement.&lt;/li&gt; &lt;/ul&gt;",,43,43,,24-WG09
42,Bolo Sport Watch,"&lt;p&gt;The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Displays time, day and date.&lt;/li&gt; &lt;li&gt;Two-tone design.&lt;/li&gt; &lt;li&gt;12/24 hour formats.&lt;/li&gt; &lt;li&gt;Nickel-free buckle on band.&lt;/li&gt; &lt;li&gt;Battery included.&lt;/li&gt; &lt;/ul&gt;",,49,49,,24-WG01
43,Clamber Watch,"&lt;p&gt;Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Japanese quartz movement.&lt;/li&gt; &lt;li&gt;Strap fits 5&quot; to 6.0&quot;.&lt;/li&gt; &lt;/ul&gt;",,54,54,,24-WG03
44,Didi Sport Watch,"&lt;p&gt;The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Digital display.&lt;/li&gt; &lt;li&gt;LED backlight.&lt;/li&gt; &lt;li&gt;Rubber strap with buckle clasp.&lt;/li&gt; &lt;li&gt;1-year limited warranty.&lt;/li&gt; &lt;/ul&gt;",,92,92,,24-WG02
46,Beginner's Yoga,"&lt;p&gt;Beginner's Yoga starts you down the path toward strength, balance and mental focus. With this video download, you don't have to be a great athlete or gym guru to learn the best and most basic techniques for lifelong yoga foundation. &lt;/p&gt; &lt;ul&gt; &lt;li&gt;Video download&lt;/li&gt; &lt;li&gt;Five workouts.&lt;/li&gt; &lt;li&gt;Balance, strength and endurance.&lt;/li&gt; &lt;li&gt;Flexibility and core strength.&lt;/li&gt; &lt;li&gt;Includes modification for novices.&lt;/li&gt; &lt;/ul&gt;",,6,6,"&lt;p&gt; The most difficult yoga poses to master are the ones learned incorrectly as a beginner. Luma's Beginner's Yoga is a fantastic way to break into your initial yoga session and begin the journey to a longer, leaner, healthier body. Confidently find your way into yoga with this effective yet gentle program. You'll learn proper alignment and how to sidestep common mistakes. &lt;/p&gt;",240-LV04
47,LifeLong Fitness IV,"&lt;p&gt;Luma LifeLong Fitness Series is a world recognized, evidence based exercise program designed specifically for individuals focused on staying active their whole lives. If followed regularly, participants will see improved heart rate and blood pressure, increased mobility, reduced joint pain and overall improvement in functional fitness and health.&lt;/&gt; &lt;ul&gt; &lt;li&gt;10 minute warm up.&lt;/li&gt; &lt;li&gt;30 minutes of mild aerobics.&lt;/li&gt; &lt;li&gt;20 minutes of strength, stretch and balance.&lt;/li&gt; &lt;li&gt;Extensive modifications for varying fitness levels.&lt;/li&gt; &lt;/ul&gt;",,14,14,"&lt;p&gt; The instructors and routines featured in LifeLong Fitness IV provide safe options to serve all types of physical conditions and abilities. Range of motion, body awareness and breathing practices are essential tools of yogic self-care, essential for maintaining alertness, health, and dignity over a lifetime. The LifeLong Fitness series acknowledges that as we age, the safety and sustainability of our exercise become as important as pushing our limits. &lt;/p&gt;",240-LV05
48,Yoga Adventure,"&lt;p&gt;Luma presents an innovative power vinyasa yoga class for intermediate and advanced practitioners. The video allows you to pace yourself, but more intense work yields longer rest. This class is great for more advanced students looking to learn proper alignment in their yoga practice.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Includes a breakdown of 12 different postures.&lt;/li&gt; &lt;li&gt;Chataranga Dandasana and prayer twist.&lt;/li&gt; &lt;li&gt;Challenging posture (side crow).&lt;/li&gt; &lt;li&gt;55 minutes of movement.&lt;/li&gt; &lt;/ul&gt;",,22,22,"&lt;p&gt; The practices on this downloadable training video are recommended only for experienced to advanced students. Those with the fundamental skills needed won't want to miss the insight and advice from world-renowned trainer Erin Renny in these exclusive Luma guided yoga sessions. Complete body, arm balance and leg strength workouts engage, strengthen and increase mobility. &lt;/p&gt;",240-LV06
49,Solo Power Circuit,"&lt;p&gt;Circuit training helps banish the boredom of traditional workouts. The Solo Power Circuit download lets you experience Luma's maximum efficiency circuit training in the training time you have available. Learn secrets to shed pounds, decrease body fat, sculpt amazing abs, and tone to reshape your entire body. You'll feel the difference after just one circuit.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Targets abs, arms and legs.&lt;/li&gt; &lt;li&gt;6 fun interval training circuits.&lt;/li&gt; &lt;li&gt;Easy to follow.&lt;/li&gt; &lt;li&gt;No special equipment needed.&lt;/li&gt; &lt;li&gt;43 minutes.&lt;/li&gt; &lt;/ul&gt;",,14,14,"&lt;p&gt; Many contemporary exercise trends sacrifice form and precision in favor of reps and &quot;PR&quot; goals. Luma's Solo Power Circuit teaches techniques to keep you safe. But don't think you'll get off easily: when it comes to building muscle and burning fat, these routines won't disappoint. A fusion of circuit training, yoga, Pilates and running, Solo Power Circuit brings out your sweatiest best. &lt;/p&gt;",240-LV07
50,Advanced Pilates &amp; Yoga (Strength),"&lt;p&gt;Advanced Pilates &amp; Yoga will help you to increase your flexibility and tone core muscle groups through an invigorating workout for your whole body. The Pilates workout is a thorough strength-conditioning session that boosts flexibility, endurance and posture. The Yoga workout incorporates legacy and new poses into one continuous routine that will leave you feeling exhausted and fulfilled at once.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Pilates-Yoga fusion.&lt;/li&gt; &lt;li&gt;Breathing warmup and cooldown.&lt;/li&gt; &lt;li&gt;Hour-long session.&lt;/li&gt; &lt;li&gt;High-definition video.&lt;/li&gt; &lt;ul&gt;",,18,18,"&lt;p&gt; No equipment needed. Advanced Pilates &amp; Yoga (Strength) is a muscle-defining program that employs balance, cardio and flexibility movements with plyometric and body-weight based exercises for an all-around, physically challenging workout. The Pilates elements of this compilation bring gentle resistance principals into the routines, emphasizing safety, technique and range of motion. &lt;/p&gt;",240-LV08
51,Luma Yoga For Life,"&lt;ul&gt;&lt;li&gt;Increase strength + flexibility + metabolism&lt;/li&gt;&lt;li&gt;Burn calories + feel great&lt;/li&gt;&lt;li&gt;Gain energy + youthfulness + mental wellness&lt;/li&gt; &lt;/ul&gt;&lt;h3 style=&quot;margin-top: 30px;&quot;&gt;Download description&lt;/h3&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Tone up mind and body&lt;/strong&gt;Pro Yoga Instructor and Master Practitioner Marie Peale helps tone and sculpt your physique with her invigorating yet gentle approach.&lt;/p&gt;&lt;p&gt;You'll learn to use yoga to relax, control stress and increase your calorie-burning capacity, all while exploring traditional and new yoga poses that lengthen and strengthen your full muscular structure. &lt;/p&gt;&lt;ul&gt;&lt;li&gt;Easy download&lt;/li&gt;&lt;li&gt;Audio options: Music and instruction or instruction only&lt;/li&gt;&lt;li&gt;Heart rate techniques explained&lt;/li&gt;&lt;li&gt;Breathing techniques explained&lt;/li&gt;&lt;li&gt;Move through exercises at your own pace&lt;/li&gt;&lt;/ul&gt;&lt;p&gt;Two 25-minute workout episodes and one 40-minute workout episode with warm-up and cool down:&lt;/p&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Episode 1&lt;/strong&gt;Creative, fun session geared toward opening your lungs. Combines stretching and breathing with a focus on hips and shoulders. &lt;/p&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Episode 2&lt;/strong&gt;Ramp up the tempo and energy with calorie-burning flows. A stimulating workout introducing the body-sculpting power of yoga.&lt;/p&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Episode 3&lt;/strong&gt;Push your fitness reach and stamina with an intense series of standing and floor exercises and poses. End this extra-length session with a meditative cool down.&lt;/p&gt;&lt;h3 style=&quot;margin-top: 30px;&quot;&gt;instructor bio&lt;/h3&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;About Marie&lt;/strong&gt;Marie is a trained martial artist and dancer with a BS in Biological Engineering and over 10 years as a certified yoga teacher. Marie has studied yoga in England, India and, in 2009, at the Ashraqat Ashram Yoga Farm in the United States. She has been teaching full time since then. Her focus on strength and wellness combines a deep knowledge of human biology and motivation guided by unconditional love for her audience.&lt;/p&gt;",,0,0,"&lt;p&gt; Luma founder Erin Renny on yoga and longevity: &quot;I won't promise you'll live longer with yoga. No one can promise that. But your life will be healthier, less stressful, and more physically in tune when you focus on connecting your mind and body or a regular basis. Yoga is my favorite way to express this connection. I want to share the secrets of lifelong yoga with anyone willing to breathe and learn with me.&quot; &lt;/p&gt;",240-LV09
67,Chaz Kangeroo Hoodie,"&lt;p&gt;Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.&lt;/p&gt; &lt;p&gt;&amp;bull; Two-tone gray heather hoodie.&lt;br /&gt;&amp;bull; Drawstring-adjustable hood. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,52,52,,MH01
